DATE,ASTRO,TOTAL_TREND_RATE,TOTAL_TREND_DESC,LOVE_TREND_RATE,LOVE_TREND_DESC,WORK_TREND_RATE,WORK_TREND_DESC,MONEY_TREND_RATE,MONEY_TREND_DESC
2020-03-14,牡羊座,★★★☆☆,愛情上心思敏感度增加，獨處時易覺得寂寞無聊，情緒不定易受他人影響。財運一般，錢財上沒有什麼特別的進出。閒暇時可外出購物，多走走看看，認真比較就能發掘到價廉物美的實用商品。,★★☆☆☆,對另一半表現得較為強勢，容易起衝突。別企圖控制對方或是主導一切，相互尊重才好喔！,★★★☆☆,較重視職場人際關係，並能如期完成份內工作，容易得到他人的欣賞。,★★★☆☆,金錢的用法趨於保守，更為看重錢財的積累。
2020-03-14,金牛座,★★★☆☆,愛情運普通，情侶間肉麻的話不要羞於出口，這有助調劑感情；擁有自己博客或網站的朋友會有意外收穫哦！買一幅清新自然的裝飾畫掛在臥室裡，有不錯的開運功效。,★★★☆☆,別把你的想法強加給另一半，對方會受不了；熱戀中的人多與戀人約會，感受浪漫。,★★★★☆,心情愉快，假日適合與家人在一起共享天倫之樂，與長輩談心會讓你有不少收穫喔！,★★★☆☆,短線投資要見好就收，快進快出，拖久恐生變。
2020-03-14,雙子座,★★★★★,貴人運旺，出門辦事的朋友得到他人的大力協助，進展相當順利。感情甜蜜溫馨，已婚者陪伴侶看看電視劇，樂在其中。理財恰當，收入明顯大於支出，會有不少心得體會，尤其今天的感受頗深。,★★★★★,豐富多元化的一天。單身者有機會趕很多場約會呢。戀愛中人也能開開心心的玩一天。,★★★★☆,做事情很有方向感，一旦明確了工作的目標，各項事務便能井然有序的順利進行。,★★★★☆,穩定得財日，上班族沒有明顯的變化。對於業務洽商工作者好運的力量較強，積極的向外努力，不難創造好績效。
2020-03-14,巨蟹座,★★★★★,早上一起床的情緒就比較不錯，一天下來做什麼都充滿著激情，因此也容易把事情辦好；送一份精美的元旦禮物給他吧，看著他如花般的笑容自己心裡也美美的；今天約同性朋友出去玩的話比較難以約到。,★★★★☆,單身者易與表現大方優雅的異性擦出愛情火花；戀愛中的人感情持續升溫，有想結婚的衝動。,★★★★★,外來的助力很強，適合扮演配合輔佐的角色，對外接觸時會有喜訊。,★★★★☆,輕鬆得財的一天，不用花費太多心力就有收穫耶，有中獎、得禮金、分紅的機會。
2020-03-14,獅子座,★★★☆☆,向你發出求愛信息的目光很多，但卻都提不起你的興趣；今天會有破財的危險，出門在外一定要保管好自己的貴重物品，以免丟失或被盜走；心情莫名煩躁，感覺渾身不舒服，建議看看小說、聽聽舒緩的音樂，才能使心情慢慢的平復下來。,★★★☆☆,單身者想尋找愛情，不妨多與好友去出遊，或參加休閒娛樂活動，將有不錯的對象出現！,★★★☆☆,會有些許鬆散，積極性減弱。別讓自己太懶，趕緊找些事情來做吧。,★★☆☆☆,藉賭博來賺取額外的費用，恐偷雞不著蝕把米！
2020-03-14,處女座,★★★☆☆,今天心裡似乎總有種失落感，感歎時間過得太快，不要沉湎於過去，盡快調整好心態迎接全新的開始；推掉所有應酬好好陪陪伴侶和孩子，讓他們感受到你的關愛；戶外活動流汗過後應及時加衣，以免著涼。,★★★☆☆,單身者想戀愛的話，不妨到新鮮的場所看看，會有不錯的際遇，激起不少愛的火花。,★★★☆☆,處事時應懂得小心行事，過於草率會出錯。因一時衝動而將很有把握的事情弄糟非常不值！,★★★☆☆,財運上進出頻繁。來的快，去得也急。
2020-03-14,天秤座,★★★★☆,感情磁場強烈，今天是追求者向心愛的對象表白的時候，雙方會產生共鳴。偏財運攀高，買點小彩票的中獎機率明顯增加，對躍躍欲試的朋友而言，也可以當成是買一個希望。快樂要與人分享，不妨約朋友聚聚。,★★★★★,愛情運旺旺，很適合在今天獻殷勤，或是跟心愛的另一半撒嬌！,★★★☆☆,事情的發展沒有預期的順利，會讓你產生消極的情緒，換個角度思考可豁然開朗。,★★★★☆,收入不少，卻不易聚財！會在同情心的驅使下，導致大量錢財外流。
2020-03-14,天蠍座,★★★★☆,今天有機會受到朋友的邀約，參加各種活動或聚會，熱情應邀會有驚喜，如：遇到久未謀面的老友、收到禮物、獲得好消息等。偏財運還不錯，購物容易遇到不錯的售貨員，買到超值商品。,★★★☆☆,無暇談情說愛，已婚者有忽略另一半的狀況；單身者不想感情之事，逍遙自在。,★★★★☆,從前輩那裡學習經驗的機會較多，如果表現得誠懇點，會有機會獲得寶貴技巧，讓你往後做事變得更加簡單。,★★★★☆,有意外的驚喜，例如：中獎、收紅包、拿禮物等等！
2020-03-14,射手座,★★★★☆,感情上有機會得到戀人主動的付出，及時給予回應可讓感情立即得到升溫；今天在網路上能買到稱心如意的東西；閒暇之時多看專業書籍，對你今日的工作會很有幫助。,★★★★★,異性緣超級好的，有機會認識與背景性格差異很大的人！,★★★★☆,越挫越勇的一天，面對困難你顯得樂觀、勇敢，再加上運勢強盛，問題很快就能解決。,★★★☆☆,謹慎利用你的業餘愛好來求財，以免徒勞無功或者造成損失，還有可能給人留下話柄。
2020-03-14,摩羯座,★★★☆☆,購物慾望膨脹得太厲害，就容易給自己帶來經濟上的困擾，還是理性一些好。即便心中有什麼不痛快的事情也不用拿購物發洩，不妨向情人訴訴苦，對方的溫言細語能撫平你心中的創傷，讓你的心靈得到慰藉。,★★★★☆,對另一半表示順從，對方的要求大多都能給予滿足，讓另一半感受到你的理解與寬容。,★★★☆☆,容易成為受人注目的焦點，應時時注意自己的形象，不佳的行為舉止要改掉喔！,★★☆☆☆,盲目投資者易破財。
